               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.023015,           0.0055831,            0.002653,             0.95803,             0.95112,             0.96845,             0.68892,            0.024522,           0.0067138,           0.0040673,           0.0067825,           0.0067825,           0.0067825
                  67,             0.02296,           0.0056055,           0.0027799,             0.94267,             0.95922,              0.9728,              0.6866,            0.024475,           0.0067613,           0.0039596,            0.006733,            0.006733,            0.006733
                  68,              0.0227,           0.0056794,           0.0028528,             0.95422,             0.96705,              0.9758,             0.69136,            0.024328,           0.0065296,           0.0037555,           0.0066835,           0.0066835,           0.0066835
                  69,            0.023062,           0.0056823,           0.0026216,             0.95551,             0.95912,              0.9721,             0.69434,            0.024195,           0.0064971,           0.0040785,            0.006634,            0.006634,            0.006634
                  70,             0.02322,           0.0054288,            0.002669,             0.95149,             0.95201,             0.97442,             0.69211,            0.024236,           0.0065911,           0.0038337,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023166,           0.0055411,            0.002812,             0.94599,             0.96363,             0.97456,             0.69314,            0.024135,           0.0065245,           0.0036646,            0.006535,            0.006535,            0.006535
                  72,            0.022821,           0.0054234,           0.0028188,             0.95199,             0.96017,             0.97355,               0.693,            0.024369,           0.0066099,           0.0041407,           0.0064855,           0.0064855,           0.0064855
                  73,            0.022838,           0.0054747,           0.0027984,             0.95501,             0.95855,             0.97365,             0.69772,            0.024748,           0.0066325,            0.003671,            0.006436,            0.006436,            0.006436
                  74,            0.022787,           0.0054499,           0.0029148,             0.95489,             0.95757,             0.97401,             0.69651,            0.024226,           0.0064173,           0.0038386,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022721,           0.0052914,           0.0027254,             0.96272,             0.95831,              0.9755,             0.69595,             0.02431,           0.0065409,           0.0037117,            0.006337,            0.006337,            0.006337
                  76,            0.022371,           0.0053346,           0.0024658,             0.95931,             0.95221,             0.97604,             0.69479,            0.023748,            0.006453,            0.004042,           0.0062875,           0.0062875,           0.0062875
